,id,text,label,dataset
15523,15888,rt [USER]: [USER] 10 brownie points for you,0,davidson2017
10151,10424,i cheated on 10% of the bitches i had tf lol nobody even wanted to be all committed and shit,0,davidson2017
18456,18865,rt [USER]: all these bitches & niggaz with they imaginary haters .....,1,davidson2017
1450,1480,“[USER] “[USER] my brother a faggot””smh,0,davidson2017
8239,8466,"bust a nicca head,smack a ho,shoot the club up! 😂 🔊🔊💃💃💃",0,davidson2017
24664,25176,what to do when your ear hurts like a bitch?,0,davidson2017
752,764,"people to avoid valerie jarrett, so i control my reflex to bitch slap her.",0,davidson2017
11089,11376,i wish tinder would quit showing me all these broads with that retarded l gesture.  they're not smart enough to procreate with me. bbn,0,davidson2017
13543,13877,oh my. there was an oreo baked into that chocolate chip cookie. surprise,0,davidson2017
1541,1575,“[USER]: better not have any bitch ass people in my classes tomorrow”,0,davidson2017
1230,1257,“[USER] “[USER]: buddy drug the whole train lmao good ... extra ass hoes” hate them ny hoes”me too,0,davidson2017
5503,5661,[USER] how? all of the qbs we had before this season were trash. they brought in a veteran so they could have someone to play,0,davidson2017
13998,14338,rt [USER]: [USER] [USER] bro don't argue with these rejected ass disney models bitches better go play in some food…,0,davidson2017
16275,16647,rt [USER]: if that nigga santa come to the hood niggas gonna rob him for his sleigh and his ho ho hoes,0,davidson2017
2962,3034,[USER] [USER] get on cunt,1,davidson2017
3809,3919,[USER] apply to thunder valley bitch,0,davidson2017
2979,3051,[USER] boy look like a slave on that hoe,0,davidson2017
12324,12636,lawd jesus lets pray for these hoes 🙏👏👏,0,davidson2017
6076,6251,[USER] nd you kno how much i love clams lol,0,davidson2017
6742,6930,[USER] can i ask my bitch for other bitches,0,davidson2017
17676,18076,rt [USER]: side niggas get pussy and main niggas get arguments,0,davidson2017
15625,15991,"rt [USER]: niggas drop outta high school & get a job at mcdonalds talkin bout ""on my grind"" lmao okay, grind me up a oreo mcflurr…",0,davidson2017
11484,11777,"if ashton is trash then what does that make me! come on guys someone like ashton can't be trash, he makes too many people smile!!",0,davidson2017
9527,9787,"got a new bitch and she got ass, lookin at my ex like yeah i know you mad",0,davidson2017
10849,11131,i remember laying on a hospital bed after being shot ranting about how coconut shrimp was trash.,0,davidson2017
13836,14175,photo: deafreaperventus: wayward-sons-and-fallen-angels: murderous-crows: *gay intensifies* are you saying... [URL],0,davidson2017
22314,22785,two foreign hoes iont like the basic,0,davidson2017
16839,17224,rt [USER]: stephen a. smith responds to people calling him an uncle tom/sell-out!💯 [URL],0,davidson2017
1111,1135,“[USER]: i hate girls who get drunk & don't turn into hoes fvckin waste of alcohol” 😂😭,0,davidson2017
20447,20893,rt [USER]: eloquently stated. “[USER]: god i hate tom coughlin ol ass fuckboy ass geriatric ass pussy ass bitch”,0,davidson2017
8509,8745,come on nd get that chicken niggers love dat chicken from popeyes [URL],1,davidson2017
23356,23842,you know these hoes wishy washy !,0,davidson2017
12836,13155,met a woman who was trying to feed a crow a brazil nut,0,davidson2017
18731,19146,"rt [USER]: “[USER]: can't spell slut without u, bitch.”",0,davidson2017
10491,10769,"i hate when bitches be like ""i love him so much 11/2/2012<3!!!""",0,davidson2017
22435,22910,watch: excited isis jihadis getting their yezidi sex slaves on 'distribution day' [URL] isis t cot pj net lny hbt gop,0,davidson2017
10071,10344,i been thugging theses hoes since pre-school 😂,0,davidson2017
3996,4115,[USER] [USER] the witches took them hoe,0,davidson2017
19189,19616,rt [USER]: took this bitch 3 months to put a scarf on smfh [URL],0,davidson2017
24645,25156,watch out for these foul hoes and flagrant niggas!,0,davidson2017
19717,20154,rt [USER]: all i'm sayin is u bitches would hookup wit tha headless horseman cuz u think he all badass n shit but then u complain …,0,davidson2017
10516,10795,i hate when people tweef and then delete the tweets. like yalls some hoes for that . i'm trying to read them,0,davidson2017
10070,10343,"i been slackin on the ice game i needa cop a watch , so i can fuck me a instagram hoe & press block",0,davidson2017
9448,9707,give us our credit bitch.. we went out there & took that w. [URL],0,davidson2017
14056,14396,rt [USER]: when dykes surround you [URL],0,davidson2017
15583,15948,rt [USER]: nun but bad bitches link up tonight mansion elan finna go crazy,0,davidson2017
2052,2093,"' i thinkkk shee knows , about , maaaa otheeeeeeeer bitch 󾍃 .",0,davidson2017
17724,18125,rt [USER]: niggas be in your messages like 😘💍💕💦🔐 & be on twitter like fuck bitches ✊🔫💸come on nigga which one you gone be drake or…,0,davidson2017
20293,20738,rt [USER]: sen. harry reid lists all the things republicans have blocked in the senate [URL] via [USER] he is ho…,0,davidson2017
12952,13271,my asshole credentials? even rednecks hate me.,0,davidson2017
10169,10443,i definitely cant fw a nigga that associates himself wit bitches i dont fw 😂😭 tf you fuccing goofball ✂️✂️,0,davidson2017
16609,16992,rt [USER]: phat pussy is the best pussy 😎,0,davidson2017
24559,25067,they're working on a bill to prevent retards from voting. who knew retards could vote? things are starting to make sense now.,1,davidson2017
10776,11057,i need a bitch to drop it down for me lol,0,davidson2017
17369,17764,rt [USER]: the person below is a cunt.,0,davidson2017
5756,5920,[USER] you are a bitch!!!!,0,davidson2017
1236,1263,“[USER]: malibus on a come-up but in other news she mean denna hoe and not even light skinedddd [URL] hahaha!!,0,davidson2017
23695,24189,but at the same time she hates me so i don't wanna trust her bitch ass,0,davidson2017
7253,7460,[USER] town . at a movie with friends. i stabbed a nig 3 times and got sent to prison. justice?,1,davidson2017
6887,7082,[USER] dubya hates todays teabagger movement.,0,davidson2017
12563,12875,lmfaoooo fizz baby mama snatched that bitch soul,0,davidson2017
7224,7431,[USER] your talking to every hick in san antonio i ride with a big 45 in the console,0,davidson2017
1139,1164,“[USER]: girls are fucking retarded my back started cramping up man” it's the double d's,0,davidson2017
14784,15138,"rt [USER]: cruising down the street in my 64, jockin the bitches, slappin the hoes",0,davidson2017
18500,18909,rt [USER]: if you can't do or say certain shit in front of yo bitch then don't do it,0,davidson2017
24498,25005,"that is what i do! rt [USER]: rt [USER]: the nicer you are, the easier you're hurt. so just be a bitch..",0,davidson2017
22065,22532,"this is marco's lotion, and he got mad that i told him that he smells like a bitch [URL]",0,davidson2017
13007,13326,my cats a bitch niggah.,0,davidson2017
6490,6673,[USER] [USER] don't you mean crowd not crows,0,davidson2017
1713,1748,“[USER]: [USER] 😳😩😂😂 now bitch you know.. lmaooo”😂😂😂,0,davidson2017
23770,24264,"don't get it twisted, it's my shit. bow down bitches.",0,davidson2017
7834,8054,ask tht bitch when she gon let a yung nigga blast tht ass,0,davidson2017
4098,4220,[USER] now fuck that stfu shit how a bout u stop being a little bitch and get it round cuz u avoiding question u fucking scarry,0,davidson2017
9425,9684,giants you bitch,0,davidson2017
9059,9312,fat bitch,0,davidson2017
22677,23155,"when a girl tried to argue with me whilst i was drunk, ""hes not done..."" ""you shut the fuck up bitch!"" im a nasty cunt whilst drunk s arry",0,davidson2017
1379,1408,"“[USER]: i dont een tryna be disrespectful when i say bitch. its just a term, like bruh or son”",0,davidson2017
17074,17464,rt [USER]: 😍 “[USER]: crazy things about the pussy that you should know 😈😈  make sure u know 👉👉 [URL] 👈👈 [URL],0,davidson2017
18137,18542,rt [USER]: how the fuck can some people not get atleast 1 on flappy bird. i just got 11 while smoking a fuckin square.,0,davidson2017
16454,16830,"rt [USER]: ""[USER]: on mammas ig aint ready for ma wcw's .. i got sum bad bitches up ma sleeve boi lol"" magician ass nigga lmao",0,davidson2017
8658,8897,date a thug because you know they won't pussy out when it comes to defending you. felons please,0,davidson2017
21307,21768,tell that hating ass niggah to shut the fuck up,0,davidson2017
10465,10743,i hate self-rightous bitches in general but my people really get on my fucking nerve sometimes.,0,davidson2017
8728,8972,did you all hear this bundy redneck? someone should show him how niggas play.,0,davidson2017
16812,17197,"rt [USER]: big booty bitches , big booty bitches ;*",0,davidson2017
4744,4883,"[USER] are you sure about that, slant? they're plagiarists, and you have no idea who i am.",0,davidson2017
12255,12566,know you didn't see it but i know you bitches heard it,0,davidson2017
19391,19821,"rt [USER]: if a woman cares about you she'll get mad over little things. if you can't handle that, you deserve a hoe.",0,davidson2017
9412,9670,get your own picture bitch.,0,davidson2017
3530,3624,[USER]  aids ain't all dat bad. you can become da hoe and do da crack and ain't gonna make no difference anyhow,0,davidson2017
12777,13094,matt cancer free gotta hoes throw him some booty before his bedtime,0,davidson2017
8223,8450,build a bear <<<< build a bitch,0,davidson2017
20110,20555,rt [USER]: my score on flappy bird is higher than the broncos score right now,0,davidson2017
6488,6671,[USER] home fag. didn't feel like puttin up with your shit today,0,davidson2017
6263,6443,[USER] [USER] [USER] bernstine is chi sox jew fag.,1,davidson2017
7152,7354,[USER] porn stars are 100% acceptable bro. im was talking about these air mattress hoes....lol,0,davidson2017
6986,7182,[USER] [USER] [USER] bitch u ugly then hoe,1,davidson2017
4153,4275,[USER] [USER] i wasn't serious bitch 😂 bitch them niggas i named ain't fuccing witcho ass 😂😭 we all just making shit up 😏😩,1,davidson2017
13149,13474,my slap a bitch sense is coming 😒,0,davidson2017
6254,6434,[USER] it totally does. smells like brownies every day i walk to work.,0,davidson2017
13541,13875,oh my god oh my god.. i'm going to a bitch mob party today oh my god,0,davidson2017
17598,17997,rt [USER]: real niggah over here💯😈,0,davidson2017
14863,15219,rt [USER]: when a bitch sneezes too close to you [URL],0,davidson2017
15011,15367,rt [USER]: karma is a bitch .... 😌,0,davidson2017
17763,18164,rt [USER]: hoes love justifying other hoes actions. that's how you easily know who be hoeing.,0,davidson2017
2324,2370,[USER] good enough fag,1,davidson2017
23230,23714,"you ain't got no job, no diploma, no money, bitch at your parents when they don't give you money for weed, yet we need to act like adults??",0,davidson2017
14776,15130,rt [USER]: i just wanna b a side nigga to a thick pretty faced cuffed hoe that does coke bumps garbage underground rappers n shops at p…,0,davidson2017
21635,22098,the willow tree in pocohontas was my bitch at 7 years old,0,davidson2017
22025,22492,this chick looks like she straight up took a colored pencil to her eyebrows that shit doesnt look good,0,davidson2017
7387,7598,[USER] [USER] bitch stfu and get off my page,0,davidson2017
4332,4460,[USER] kill yourself ugly ass monkey looking shit,1,davidson2017
17567,17966,rt [USER]: having a real bitch by your side and holding it down for you is a blessing 🙏 for real.,0,davidson2017
6098,6274,[USER] ♥,0,davidson2017
11688,11986,if you're not attractive .... bitch you ain't making my drinks...! tf you think this is.?,0,davidson2017
11601,11895,"if ur bitch starts fukin yappin tae, ill make sure i break something vital. warning: call polis with hazard that results in permanent damage",0,davidson2017
17285,17680,rt [USER]: when you and your boys discover a hoe😂😂😂 [URL],0,davidson2017
11333,11623,"i'm not dating anyone right now, i'm giving my pussy a brake.",0,davidson2017
11451,11744,isis jihadis discuss ‘buying and selling’ yezidi girls as slaves [URL] t cot pj net,0,davidson2017
3790,3898,"[USER] [USER] him as well, they like their fried chicken,esp the spear chuckers.",0,davidson2017
6185,6362,[USER] karma a bitch bruhh,0,davidson2017
3281,3367,"[USER] neither does your fucking cat, pussy.",0,davidson2017
21874,22341,they make sure they have these reality shows lined up for you hoes.they won't leave you high and dry.,0,davidson2017
4721,4859,[USER] remember that african bitch we used to work with at cmi?!,0,davidson2017
13957,14297,put your tits back in your shit bitch,0,davidson2017
14308,14650,"rt [USER]: basic bitch tweet shit like ""no one to talk to"" 3 times a day 😂",0,davidson2017
21644,22107,them brownies tho 😌👌,0,davidson2017
5440,5598,[USER]'s pussy. [URL],0,davidson2017
12301,12613,ladies you are not a hoe if you fucked on the first night. don't let these lonely bitches lie to you.,0,davidson2017
14474,14820,"rt [USER]: niggas gossip like hoes, most of 'em bitches",0,davidson2017
21589,22051,"the nations know who we are, but we rather be real niggers & bad bitches. [URL]",1,davidson2017
254,257,"""[USER]: hickies in between her thighs right by her pussy >>>"" its only right",0,davidson2017
10822,11103,i put her pussy on the map!!!,0,davidson2017
1312,1341,"“[USER]: yeah you played me, yeah you got what you wanted. but jokes on you, you about to be a daddy bitch. [URL]",0,davidson2017
24108,24609,it's gotten to the point where i literally don't care and i'm gonna start punching bitches if they don't move in the hallway,0,davidson2017
16633,17016,rt [USER]: autographed photo of babe ruth and lou gehrig - new york yankees 1928 | nyc ny nyy [URL],0,davidson2017
3662,3763,[USER] hey jim you'll love this [URL],0,davidson2017
22592,23068,what a sniveling little cunt. i would be embarrassed for him but i cant stand the guy. [USER] [USER],0,davidson2017
15292,15652,rt [USER]: how to get unlimited pussy in high school [URL],0,davidson2017
7159,7361,[USER] [USER] brah *falls out* white bitches crazy,0,davidson2017
13927,14267,pull up on my ex make that bitch mad.,0,davidson2017
19345,19774,"rt [USER]: “[USER]: ""anything below a a+ and we disown you ling ling"" [URL] [USER]",0,davidson2017
23900,24397,"hate when you point out truths to people, and they flip the script like you're in the wrong, bitch what ?",0,davidson2017
23776,24271,donkey son of a bitch mother fucker,0,davidson2017
11499,11792,if i had a dollar for every time someone called me maggie i'd make it rain on all these hoes,0,davidson2017
21733,22197,these bitches love sodaa,0,davidson2017
21264,21725,trust me when i say that jesus christ would be killing faggots if he came back to life in today's day and age> spartacus rome,1,davidson2017
15375,15738,"rt [USER]: i'm tired of fat hoes calling themselves ""thick"". bitch, yo fat ass can't even bend over and touch your toes withou ...",0,davidson2017
14590,14939,rt [USER]: i'm a bitch but a sweetheart u feel me,0,davidson2017
11331,11621,"i'm not big on the ""uncle tom"" slur anyway, but can we at least reserve it for those who earn it, not just those who dare to not vote dem?",0,davidson2017
6815,7006,"[USER] like...charlie chan-style? (never saw that, either.) hmm...makes me think of the ""cockneys"" in the killzone series.",0,davidson2017
6724,6912,"[USER] i apologize morgan, but a bitch was blind for a whole 35 seconds!!!!",0,davidson2017
12075,12384,jk. i'm going to be a pussy about it. i don't want the love of my life seein me all scared and shit.,0,davidson2017
1846,1884,“[USER]: every bitch tell me i act like a nigga.. whatever the fuck that means”,0,davidson2017
13576,13910,okay but your number ain't been saved for how long ? 😕 okay thancc you ✋😂 tf hoe.,0,davidson2017
23202,23686,yo that nigga at usc was lying 😂😂😂😂😂 had y'all bitches calling him ya mcm and all how do u feel....ok back to you bob,0,davidson2017
13935,14275,punk ass cop jus bulldogged that bitch [URL],0,davidson2017
24492,24999,that bitch looked wierd !😂,0,davidson2017
6733,6921,[USER] lmao why would we respect him then? he's a hoe if that's true,0,davidson2017
3324,3410,[USER] get into devil first bitch! roasted.,0,davidson2017
14698,15050,rt [USER]: i think this steubenville rape trial is some bullshit. that rollen bitch wanted the dick lls and got mad when she w ...,0,davidson2017
7268,7475,[USER] [USER] how is it being colored blind?,0,davidson2017
15557,15922,rt [USER]: my chink ass eyes 😭🙈,0,davidson2017
9325,9582,fucking cunts.,0,davidson2017
20707,21156,she a dirty bitch and i dotn have a doubt,0,davidson2017
15920,16289,rt [USER]: i only fw grown hoes!,0,davidson2017
19785,20225,rt [USER]: mother's day is n 16 mins. y'all bitches picked y'all kids up from yo mama house so u can have 24hrs of custody n instagram p…,0,davidson2017
17794,18195,rt [USER]: dear future husband you have no idea how many brownie points you will get i you randomly play with my hair or scratch my …,0,davidson2017
8717,8960,dick so little ugly hoes tryna find me.,0,davidson2017
23325,23811,you hate football your a faggot,1,davidson2017
7664,7880,"all you pussies is losers, all my niggas is winnin",0,davidson2017
5953,6124,[USER] cause i didn't wanna see your bitch ass,0,davidson2017
23217,23701,you a hoe if u eat candy corn,0,davidson2017
20972,21423,so niggas wanna be bitches and shit wearing flowers and shit smh y'all niggas gay!,0,davidson2017
16578,16958,rt [USER]: who is she? ill fight her bestie rt [USER]: then this bitch in my class wanna copy my homework off blackboard disc…,0,davidson2017
21577,22039,the left tho rt [USER]: “[USER]: twitpic a selfie with a bad bitch” 🍫🍫🍫 [URL],0,davidson2017
15942,16311,rt [USER]: single ladies vs cuffed hoes 💃💍,0,davidson2017
11310,11600,i'm just sitting here waiting for twitter to explode once this yankees game ends,0,davidson2017
17936,18338,rt [USER]: yo mama so ghetto she uses cigarette butts as q-tips,0,davidson2017
11811,12111,in yo bitch dm like.. [URL],0,davidson2017
15306,15666,rt [USER]: [USER] dat nigga lame bro he unfollowed me like a bitch,0,davidson2017
2057,2098,' i wouldn't bring my girl around nobody but leo 󾌴󾌴✋ he the only niggah i know that wouldn't mess with any of the... [URL],0,davidson2017
19472,19905,"rt [USER]: ""it's a joke bitch, fix ya face"" 😂😂😂😭😭 [URL]",0,davidson2017
784,799,that son of a bitch moment when you turn the radio on and your favorite song is on but its the end of the song,0,davidson2017
14473,14819,rt [USER]: he tweet like a bitch broke his heart,0,davidson2017
17596,17995,rt [USER]: you win some and lose some long as you get it on you aint a bitch.,0,davidson2017
4502,4634,"[USER] [USER] is a little bitch , that's why",0,davidson2017
9172,9428,four hoûrs to back up this iphone haha... jokes 😒,0,davidson2017
12603,12916,lol ike turner [URL],0,davidson2017
2270,2315,6:07 am .. bout to match up wit dis nicca donny dinero,0,davidson2017
2471,2522,[USER] i have class nig,0,davidson2017
19343,19772,"rt [USER]: [USER] i was about to be like ""r u queer"" but c'mon jen do u even need to ask",0,davidson2017
24693,25205,why did the fins sign finnegan? hes a certified bitch,0,davidson2017
22039,22506,this fucking little bitch landed on me in the car and really thought i wouldn't kill him.. [URL],0,davidson2017
13665,14001,only basic bitches workout at planet fitness,0,davidson2017
18664,19077,rt [USER]: if she called me ugly and started pushin me around. i'd run like a mother fucking pussy screaming for my mom to help htt…,0,davidson2017
2109,2152,' this niggah kevin hart couldn't sit down lmaoooooooooooo my niggah my niggah 󾌴󾌴󾌴󾌴󾮞󾮗󾭻,0,davidson2017
2683,2746,[USER] younow is a fucking bitch... shit load of hate on there when i did my first broadcast,0,davidson2017
18463,18872,rt [USER]: these bitch niggas couldn't live my cold life$tyle💸👐😋,0,davidson2017
20398,20844,rt [USER]: when you realize you got no hoes [URL],0,davidson2017
17909,18311,"rt [USER]: my dad is a hoe, fuck him 🌵",0,davidson2017
9452,9711,"go utes! you got playboy bitches, disrespectful players, and a bunch of spoiled hipsters at your school, so i'm cheering for you. not",0,davidson2017
13590,13924,old lady went to pay and reached all the way over my plate. hate eating on bar countertops. stupid white bitch.,0,davidson2017
306,311,"""[USER]: “[USER]: i legit watched it for about 30 or 40 seconds 😑”so did i wtf"" prob cause were retarded smh",0,davidson2017
17566,17965,"rt [USER]: females nowadays don't like to do anything freaky, because you niggas gossip about it like bitches",0,davidson2017
9176,9432,freaky bitch eat the dick while i'm playing madden,0,davidson2017
17415,17812,"rt [USER]: ""[USER]: this bitch wanna be roger from american dad so bad [URL]",0,davidson2017
20113,20558,"rt [USER]: stuff broke loose, must not panic and share gif instead [URL]",0,davidson2017
11521,11814,if a bitch don't taste her own 😽 you shouldn't even dare eat it 😷,0,davidson2017
23249,23733,you arguin bout a bitch and she a god damn slutttt,0,davidson2017
15370,15733,rt [USER]: niggas loose they down bitch for a bitch who down to snitch 🙊💯,0,davidson2017
4225,4349,[USER]  dat dawg live betta den most colored folk in my hood,0,davidson2017
12525,12837,lmaoo we was sayin this same statement last year rt [USER] boozer is trash bro i'm done!! 😂,0,davidson2017
7945,8166,barry's hoe michelle is walking in now. ugly beast she is. sotu,0,davidson2017
364,369,"""[USER]: colored contacts in your eyes? blinders on mine. cause i can't see you at all."" lmao",0,davidson2017
21033,21485,some movies are made to facilitate dudes to pick girls up. think out side the box lil nigguh,0,davidson2017
9700,9965,have you hugged a wacko-bird today?,0,davidson2017
17472,17869,rt [USER]: no respect for a bitch  she gonna top me regardless [USER],0,davidson2017
21463,21925,that's why i don't stunt these hoes on instagram. team real booty [URL],0,davidson2017
1047,1070,😭😭😭 rt [USER]: brees been trash since this.... [URL],0,davidson2017
10675,10955,i like saying the word pussy hoe ion no why!!!,0,davidson2017
2492,2545,[USER] [USER] nah that bitch stank,0,davidson2017
22108,22576,this nigga jerry room smell like bad pussy!😒,1,davidson2017
22136,22604,this re-colored pictured of abraham lincoln is one of the coolest things i’ve seen in a while… [URL],0,davidson2017
22312,22783,two days gone she been gone so long you can't get her on the phone cuz that bitch done been wit meeeeee,0,davidson2017
7506,7720,after a fight in the club in new orleans them bitches start jumping,0,davidson2017
319,324,"""[USER]: i'm gonna miss that bitch of a bus driver...""no you won't. don't lie",0,davidson2017
15192,15550,rt [USER]: bruh this bitch is possessed by the thot demon [URL],0,davidson2017
9890,10160,hopefully this niggah buys my gamma 11's cause i want them,0,davidson2017
5634,5795,"[USER] [USER] was about to fly to portugal & open a can of whoopass since they started to zoom out during ""still run this bitch""",0,davidson2017
8817,9062,don't put too much effort into these bitches if you ain't gettin none back. give them exactly what they give you,0,davidson2017
19792,20232,"rt [USER]: i won't love you, i can't love you unless that pussy got some super powers",0,davidson2017
3570,3666,[USER] i took it harder when rivera retired. i'm not a yankee fan but i have a lot of love and respect for em. especially the core 4,0,davidson2017
15609,15975,rt [USER]: like no bitch you didn't make the cut.👋💁,0,davidson2017
3236,3320,[USER] [USER] [USER] [USER] [USER] [USER] whatever gabby! you hoe,0,davidson2017
15881,16250,"rt [USER]: if a girl sit on your face, and your nose goes into her pussy, and she rides your nose like a bull, she's a keeper.",0,davidson2017
6793,6983,[USER] [USER] you gotta respect a bitch before she let's you put your entire arm in her vagina.,0,davidson2017
24726,25239,y'all hoes avoid schemes,0,davidson2017
10387,10665,"i got the streets ina headlock, i got yo bitch ina leg lock!",0,davidson2017
11697,11996,if youu let yo bitch leave with another niggah and don't say shit thats on youu!,0,davidson2017
14039,14379,rt [USER]: hungover and feeling yyyyyeelllloooowwwwww [USER] [USER] dbh yellow [URL],0,davidson2017
16404,16777,"rt [USER]: when americans claim isis is just a ""local threat,"" reply: you mean just to iraq, syria, turkey, jordan, saudi arabia, leb…",0,davidson2017
1524,1557,“[USER]: “[USER]: everybody loves dej loaf” cause that's wifey” fuck off kaya dats my bitch.,0,davidson2017
18226,18631,rt [USER]: not all black girls are ghetto .,0,davidson2017
14,14,""" bitch get up off me """,0,davidson2017
9880,10149,homemade soup is very good with vegetables on the side with crackers [URL],0,davidson2017
22451,22926,"wait a minute... bowyer causing a yellow in a chase race rt [USER]: caution, 15 nascar",0,davidson2017
8201,8428,brownies brownies brownies,0,davidson2017
17113,17504,rt [USER]: i kinda miss tremper i use to be threw dat bitch lol never in class lmao,0,davidson2017
23755,24249,diet coke trash,0,davidson2017
2977,3049,[USER] bitch ass nigga rico 😒,0,davidson2017
11054,11339,"i was in the 9 grade and this bitch said something and i went off about her momma and her. she was like ""i'm adopted""",0,davidson2017
13277,13605,"nigga i got pill poppin bitches in the backkkk, of the cherokee",0,davidson2017
2899,2969,[USER] hell idk who did but that pussy better be golden,0,davidson2017
24515,25022,the gullible ones do. rt [USER]: so people go to college with intentions of being a hoe? k.,0,davidson2017
6293,6474,"[USER] [USER] [USER] you couldn't handle iowa pussy - here, kitty, kitty, kitty --- [URL]",0,davidson2017
12766,13083,marcus colston so damn trash.,0,davidson2017
13679,14015,only in my hick town can you walk into a national sports bar and get busch light in a can. smh,0,davidson2017
22639,23117,what's really funny bout this pic is i'm sure they believe them hoes is bad 😂😂😂😂 [URL],0,davidson2017
5800,5965,[USER] there was also no need for her to be a cunt and act like she's something special. it wasn't unprovoked.,0,davidson2017
19645,20082,rt [USER]: [USER] np big nig nig,0,davidson2017
2936,3007,[USER] [USER] you a bitch dennis,0,davidson2017
23026,23509,y'all bitches want a good dude but can't be real at all then want to blame them for their reaction to your bullshit. grow the fuck up.,0,davidson2017
1495,1526,“[USER]: i'm finna eat some pussy” lmao,0,davidson2017
19271,19700,rt [USER]: [USER] doing nothing as an agenda. unbelievable that the dems failed to use that against the teabaggers. [USER]…,0,davidson2017
7875,8096,ayo why da hell ain't nobody hip me to these niccas! [USER] ... better late than never,0,davidson2017
12415,12727,like i can't have niggas thinkin ho-tep talk time is apart of my party sets.,0,davidson2017
8675,8916,"dear von miller, karmas a bitch.",0,davidson2017
11286,11574,i'm gonna be ghetto and color over the stain with a sharpie ctfu,0,davidson2017
6572,6757,[USER] can't wait 2 see my bitch tmrw gatsby l00py,0,davidson2017
11531,11824,"if a spic ever talks to a white person and the white person kills them, it's self defense.",1,davidson2017
11743,12042,"im nt rey talk about a dumbass bitch thats lost in this world, she really need to be saved at save [URL] try it, it wrks",0,davidson2017
20246,20691,rt [USER]: bad bitches get in free night at weenie hut jrs,0,davidson2017
12397,12709,"life is a bitch, but every dog has its day",0,davidson2017
790,805,t john gang😈 lil bitch follow me ! [URL],0,davidson2017
14550,14899,rt [USER]: karma's a bitch. don't dish what you can't take. 🙇,0,davidson2017
10226,10504,i don't like that bitch.,0,davidson2017
11238,11525,i'm beating bitch jay jay ass when i see this nigga . i really ova here dead tho 😭😂💀😂👏,0,davidson2017
24360,24865,pull up eat on that pussy and dip💦😁,0,davidson2017
16078,16448,rt [USER]: today something is dope. tomorrow that same thing is trash. next month it is irrelevant. next year it's classic.,0,davidson2017
12188,12498,kanye new video so bitch made mane. bruh how you gone throw shots a barrack den come up wit dat shit,0,davidson2017
15924,16293,rt [USER]: lol it's funny tho cuz every hoe that talk shit i .... nvm that shit ain't player,0,davidson2017
21912,22379,this 103 weather is a bitch,0,davidson2017
1169,1195,“[USER]: one wrong move and consider your bitch mine [URL] [USER] [USER],0,davidson2017
8482,8718,city highway skyscrapers building lights yellow blue [URL],0,davidson2017
21757,22221,these girls going to school with all kind og aquatic colored weaves in their head.fuck going on?,0,davidson2017
11511,11804,"if i wore a tutu, no bitch would want me 😂😂 that's what our dog is gonna be telling himself everyday 😑",0,davidson2017
4414,4545,"[USER] [USER] that's arabic for ""you one pussy gettin motha fucka""",0,davidson2017
2821,2890,[USER] pussy,0,davidson2017
10032,10304,i approve this message ! “[USER]: good pussy is a mufucka. 😊” [URL],0,davidson2017
1222,1249,“[USER]: what will the lakers be after kobe” trash,0,davidson2017
23959,24456,[URL] ioana – tiny teen ioana fucks her tender pussy with a vibrator [URL],0,davidson2017
2333,2379,[USER] if it's trash i'm kickin yo ass,0,davidson2017
15244,15603,"rt [USER]: first i charge my phone, then i text your bitch",0,davidson2017
8907,9154,exposed: jihadi kidnap and murder handbook... and plan to infiltrate british army and police [URL] via [USER],0,davidson2017
20946,21397,so far i've only seen 3 bad bitches talkn bout mansion élan .. wtf is up!!,0,davidson2017
11848,12149,is hillary the ‘dodo bird’ candidate? [URL] via [USER],0,davidson2017
15035,15392,rt [USER]: mustard is yellow.  *if my avi was big tits- this would be an epic tweet.,0,davidson2017
22058,22525,"this hoe straight up disappeared on me, like where did you go ?",0,davidson2017
12152,12461,"just said cunt in front of this old lady, i kinda froze, then she yelled ""yeah you tell that cunt!"" is it too late in life to get adopted?",0,davidson2017
13725,14061,oreo milkshakes will forever remind me of [USER],0,davidson2017
10607,10887,i just want to beat the fuck out of everyone that stares at me like bitch stahp,0,davidson2017
4953,5099,[USER] gotta get my superbowl shirt at the cleaners then we hitting the big bird.,0,davidson2017
6485,6668,[USER] you dumb fuck that's not a fucking full address you dumbass i don't live in plano so how the fuck would i know retard,0,davidson2017
17591,17990,rt [USER]: [USER] iphone 5 bitch,0,davidson2017
17148,17539,"rt [USER]: no bitch, i just don't like you 💁",0,davidson2017
21066,21519,someone come take these brownies away from me before i eat the whole pan!,0,davidson2017
8981,9230,every nigga can make a female act like a bitch. thats a fact,0,davidson2017
17675,18075,"rt [USER]: don't be with a ""bad bitch"" that just looks good. find a good woman that tells you when you're slippin and pushes you to…",0,davidson2017
13585,13919,oklahoma has 250 more yards than tu and is only up 4 points? trashhhhhhhh ass teams big xii trash,0,davidson2017
16215,16586,rt [USER]: [USER] dats how u drop it dum ho ask about me b4 yu jump on my dick ho or reed about me yu cluck ass thot,0,davidson2017
9278,9534,fuck that stupid bitch.. 😒,0,davidson2017
566,575,"""they faggots [USER]: orioles petty as fuck...got swept up outta this bitch""",0,davidson2017
21554,22016,the fuck does a yellow cloud do?,0,davidson2017
3673,3777,[USER] sit down and stfu raghead [USER] [USER],1,davidson2017
